Class,Precision,Recall,F1-score,Support
SkyDiving,1.0,0.14,0.25,14.0
Biking,0.12,0.06,0.08,17.0
HorseRace,0.55,0.69,0.61,16.0
Surfing,0.48,0.75,0.59,16.0
TennisSwing,0.76,0.76,0.76,21.0
Punch,0.79,0.75,0.77,20.0
Basketball,0.93,0.82,0.88,34.0
JumpRope,0.89,0.89,0.89,18.0
Archery,0.43,0.63,0.51,19.0
Skiing,0.33,0.41,0.37,17.0
accuracy,0.62,192.0,,
