Class,Precision,Recall,F1-score,Support
SkyDiving,0.0,0.0,0.0,14.0
Biking,0.54,0.41,0.47,17.0
HorseRace,0.62,0.31,0.42,16.0
Surfing,0.48,0.88,0.62,16.0
TennisSwing,0.67,0.38,0.48,21.0
Punch,0.78,0.7,0.74,20.0
Basketball,0.7,0.88,0.78,34.0
JumpRope,0.78,0.78,0.78,18.0
Archery,0.42,0.58,0.49,19.0
Skiing,0.28,0.41,0.33,17.0
accuracy,0.57,192.0,,
