Class,Precision,Recall,F1-score,Support
SkyDiving,1.0,0.21,0.35,14.0
Biking,0.22,0.12,0.15,17.0
HorseRace,0.69,0.69,0.69,16.0
Surfing,0.48,0.75,0.59,16.0
TennisSwing,0.62,0.71,0.67,21.0
Punch,0.76,0.8,0.78,20.0
Basketball,0.9,0.82,0.86,34.0
JumpRope,0.82,0.78,0.8,18.0
Archery,0.41,0.58,0.48,19.0
Skiing,0.32,0.35,0.33,17.0
accuracy,0.61,192.0,,
