Class,Precision,Recall,F1-score,Support
SkyDiving,0.0,0.0,0.0,14.0
Biking,0.5,0.29,0.37,17.0
HorseRace,0.5,0.12,0.2,16.0
Surfing,0.47,0.88,0.61,16.0
TennisSwing,0.53,0.43,0.47,21.0
Punch,0.64,0.7,0.67,20.0
Basketball,0.67,0.82,0.74,34.0
JumpRope,0.82,0.78,0.8,18.0
Archery,0.4,0.53,0.45,19.0
Skiing,0.24,0.35,0.29,17.0
accuracy,0.53,192.0,,
