Class,Precision,Recall,F1-score,Support
SkyDiving,0.8,0.29,0.42,14.0
Biking,0.12,0.06,0.08,17.0
HorseRace,0.59,0.62,0.61,16.0
Surfing,0.48,0.75,0.59,16.0
TennisSwing,0.58,0.71,0.64,21.0
Punch,0.79,0.75,0.77,20.0
Basketball,0.9,0.82,0.86,34.0
JumpRope,0.82,0.78,0.8,18.0
Archery,0.46,0.58,0.51,19.0
Skiing,0.3,0.35,0.32,17.0
accuracy,0.6,192.0,,
