Class,Precision,Recall,F1-score,Support
SkyDiving,0.67,0.43,0.52,14.0
Biking,0.42,0.29,0.34,17.0
HorseRace,0.5,0.62,0.56,16.0
Surfing,0.48,0.94,0.64,16.0
TennisSwing,0.32,0.33,0.33,21.0
Punch,0.41,0.45,0.43,20.0
Basketball,0.72,0.68,0.7,34.0
JumpRope,0.56,0.5,0.53,18.0
Archery,0.3,0.32,0.31,19.0
Skiing,0.5,0.24,0.32,17.0
accuracy,0.49,192.0,,
