Class,Precision,Recall,F1-score,Support
SkyDiving,0.44,0.29,0.35,14.0
Biking,0.0,0.0,0.0,17.0
HorseRace,0.12,0.06,0.08,16.0
Surfing,0.39,0.81,0.53,16.0
TennisSwing,0.39,0.81,0.52,21.0
Punch,1.0,0.1,0.18,20.0
Basketball,0.55,0.79,0.65,34.0
JumpRope,0.33,0.22,0.27,18.0
Archery,0.48,0.74,0.58,19.0
Skiing,0.17,0.06,0.09,17.0
accuracy,0.43,192.0,,
