Class,Precision,Recall,F1-score,Support
SkyDiving,0.0,0.0,0.0,14.0
Biking,0.0,0.0,0.0,17.0
HorseRace,0.0,0.0,0.0,16.0
Surfing,0.08,0.12,0.1,16.0
TennisSwing,0.0,0.0,0.0,21.0
Punch,1.0,0.05,0.1,20.0
Basketball,0.25,0.74,0.37,34.0
JumpRope,0.0,0.0,0.0,18.0
Archery,0.0,0.0,0.0,19.0
Skiing,0.17,0.65,0.27,17.0
accuracy,0.2,192.0,,
