Class,Precision,Recall,F1-score,Support
SkyDiving,0.0,0.0,0.0,14.0
Biking,0.0,0.0,0.0,17.0
HorseRace,0.0,0.0,0.0,16.0
Surfing,0.0,0.0,0.0,16.0
TennisSwing,0.27,0.38,0.31,21.0
Punch,0.42,0.5,0.45,20.0
Basketball,0.58,0.62,0.6,34.0
JumpRope,0.18,0.22,0.2,18.0
Archery,0.17,0.11,0.13,19.0
Skiing,0.2,0.76,0.32,17.0
accuracy,0.3,192.0,,
