Class,Precision,Recall,F1-score,Support
SkyDiving,0.0,0.0,0.0,14.0
Biking,0.0,0.0,0.0,17.0
HorseRace,0.0,0.0,0.0,16.0
Surfing,0.17,0.94,0.29,16.0
TennisSwing,0.0,0.0,0.0,21.0
Punch,0.0,0.0,0.0,20.0
Basketball,0.24,0.74,0.36,34.0
JumpRope,0.0,0.0,0.0,18.0
Archery,0.0,0.0,0.0,19.0
Skiing,0.0,0.0,0.0,17.0
accuracy,0.21,192.0,,
