Class,Precision,Recall,F1-score,Support
SkyDiving,0.0,0.0,0.0,14.0
Biking,0.04,0.06,0.05,17.0
HorseRace,0.0,0.0,0.0,16.0
Surfing,0.2,0.12,0.15,16.0
TennisSwing,0.0,0.0,0.0,21.0
Punch,0.2,0.6,0.3,20.0
Basketball,0.35,0.56,0.43,34.0
JumpRope,0.0,0.0,0.0,18.0
Archery,0.0,0.0,0.0,19.0
Skiing,0.3,0.76,0.43,17.0
accuracy,0.24,192.0,,
